Date,Local.Time,Latitude,Longitude,Magnitude.ML.,Epicentre
5/17/2015,20:40,27.84,86.24,4.4,Dolakha
5/17/2015,11:30,27.48,85.87,4.6,Ramechhap
5/17/2015,5:00,27.73,86.06,4.4,Dolakha
5/16/2015,20:44,27.64,86.14,4.3,Dolakha
5/16/2015,17:19,27.6,86.26,5.5,Dolakha
5/16/2015,9:35,27.45,85.31,4.2,Lalitpur
5/16/2015,9:24,27.7,85.85,4.2,Sindhupalchowk
5/16/2015,6:31,28.13,84.89,4,Gorkha
5/16/2015,6:11,27.97,85.48,4,Nuwakot
5/16/2015,4:38,27.66,86.09,4.1,Dolakha
5/16/2015,4:28,27.65,86.12,4.1,Dolakha
5/16/2015,2:15,28.07,84.7,4,Gorkha
5/15/2015,22:58,27.74,86.17,4,Dolakha
5/15/2015,15:09,27.61,86.2,4.5,Dolakha
5/15/2015,10:51,27.92,84.84,4,Dhading
5/15/2015,7:27,27.93,84.84,5.5,Dhading
5/15/2015,4:06,27.69,86.08,4.3,Dolakha
5/15/2015,3:38,27.63,86.25,4.1,Dolakha
5/14/2015,21:40,27.84,85.84,4,Sindhupalchowk
5/14/2015,20:50,27.71,86.04,4,Dolakha
5/14/2015,20:21,28.06,85.35,4.5,Rasuwa
5/14/2015,19:43,27.75,86.14,4,Dolakha
5/14/2015,15:20,27.62,86.09,4.2,Dolakha
5/14/2015,9:06,27.83,86.15,4.5,Dolakha
5/14/2015,8:52,27.8,85.82,4,Sindupalchok
5/14/2015,3:23,27.67,86.08,5,Dolakha
5/14/2015,3:13,27.66,86.07,4.1,Dolakha
5/14/2015,0:16,27.92,86.31,4.3,Dolakha
5/13/2015,21:36,27.7,86.15,4.1,Dolakha
5/13/2015,21:21,27.64,85.7,4,Kavrepalanchok
5/13/2015,16:44,27.63,86.17,4.5,Dolakha
5/13/2015,15:37,27.85,86.29,4,Dolakha
5/13/2015,14:30,27.6,86.16,4.3,Dolakha
5/13/2015,12:38,27.68,86.17,5.1,Dolakha
5/13/2015,12:34,27.84,86.25,4.6,Dolakha
5/13/2015,12:22,27.79,86.07,4.8,Dolakha
5/13/2015,12:11,27.69,86.11,4.7,Sindhupalchok
5/13/2015,10:33,27.79,86.19,4.6,Dolakha
5/13/2015,8:28,27.75,86.25,4.4,Dolakha
5/13/2015,8:08,27.65,86.18,4.4,Dolakha
5/13/2015,4:38,27.82,86.47,4.3,Dolakha
5/13/2015,3:42,27.85,85.92,4.2,Sindhupalchok
5/13/2015,3:10,27.91,84.82,5.9,Dhading
5/13/2015,2:07,27.68,85.3,4.2,Kathmandu
5/12/2015,23:13,27.58,86.41,4.3,Ramechhap
5/12/2015,22:17,27.68,86.04,4.2,Dolakha
5/12/2015,21:13,27.97,86.45,4.8,Tibet
5/12/2015,20:44,28.03,86.36,4.1,Tibet
5/12/2015,19:42,27.84,86.23,4.4,Dolakha
5/12/2015,19:28,27.78,85.85,4.3,Sindhupalchok
5/12/2015,18:53,27.72,85.97,4,Dolakha
5/12/2015,18:47,27.89,85.88,4.4,Sindhupalchok
5/12/2015,18:13,27.7,86.04,4.7,Dolakha
5/12/2015,17:43,27.71,86,4.3,Dolakha
5/12/2015,17:06,27.72,86.2,4.6,Dolakha
5/12/2015,16:51,27.62,86.16,4.7,Dolakha
5/12/2015,16:26,27.76,86.24,4.4,Dolakha
5/12/2015,16:20,27.73,86.11,5,Dolakha
5/12/2015,16:16,27.69,86.05,4.2,Dolakha
5/12/2015,16:00,27.57,86.29,4.8,Ramechhap
5/12/2015,15:49,27.68,86.03,4.4,Dolakha
5/12/2015,15:29,27.8,85.95,4.2,Sindhupalchok
5/12/2015,15:14,27.7,86.01,4.2,Dolakha
5/12/2015,14:47,27.8,86.12,4.7,Dolakha
5/12/2015,14:44,27.76,86.31,5.3,Dolakha
5/12/2015,14:24,27.69,86.21,4.7,Dolakha
5/12/2015,14:20,27.68,86.23,4.7,Dolakha
5/12/2015,14:19,27.88,85.94,4.8,Sindhupalchok
5/12/2015,14:09,27.79,86.11,5,Dolakha
5/12/2015,14:06,27.66,86.17,5.2,Dolakha
5/12/2015,13:58,27.8,85.83,5.3,Sindhupalchok
5/12/2015,13:51,27.8,85.94,5.1,Sindhupalchok
5/12/2015,13:46,27.68,86.04,4.3,Dolakha
5/12/2015,13:33,27.63,86.17,4.8,Dolakha
5/12/2015,13:28,27.69,86.24,5,Dolakha
5/12/2015,13:21,27.73,86.21,6.2,Dolakha
5/12/2015,13:02,27.84,86.17,5.8,Dolakha
5/12/2015,12:50,27.82,86.12,6.8,Dolakha
5/12/2015,2:08,28.16,84.9,4.1,Gorkha
5/12/2015,0:07,28.1,84.91,4,Dhading
5/11/2015,23:54,27.91,85.75,4,Sindhupalchowk
5/11/2015,20:35,27.99,85.86,4.2,Sindhupalchowk
5/10/2015,15:23,27.65,85.56,4.2,kavre
5/10/2015,11:08,28.02,85.25,4,Rasuwa
5/10/2015,6:34,27.88,86,4.4,Sindhupalchowk
5/10/2015,1:50,28.04,85.96,4.2,Tibet
5/9/2015,3:08,28.04,85.2,4.1,Rasuwa
5/8/2015,15:05,28.01,85.41,4.2,Nuwakot
